req_id,redundancy,comprehensiveness
CrisisFACTS-001-r3,0.392094,0.119963
CrisisFACTS-001-r4,0.309103,0.103365
CrisisFACTS-001-r5,0.214809,0.109615
CrisisFACTS-001-r6,0.269737,0.124786
CrisisFACTS-001-r7,0.258431,0.113782
CrisisFACTS-001-r8,0.259877,0.121951
CrisisFACTS-001-r9,0.271528,0.122781
CrisisFACTS-001-r10,0.106185,0.079882
CrisisFACTS-001-r11,0.020002,0.092308
CrisisFACTS-002-r1,0.564660,0.130178
CrisisFACTS-002-r2,0.326929,0.092949
CrisisFACTS-002-r3,0.240643,0.105181
CrisisFACTS-002-r4,0.221964,0.130178
CrisisFACTS-002-r5,0.296763,0.113030
CrisisFACTS-002-r6,0.331201,0.285714
CrisisFACTS-003-r10,0.494624,0.145928
CrisisFACTS-003-r11,0.017144,0.333333
CrisisFACTS-003-r5,0.444231,0.144796
CrisisFACTS-003-r6,0.410200,0.141636
CrisisFACTS-003-r7,0.565958,0.130858
CrisisFACTS-003-r8,0.547368,0.126188
CrisisFACTS-003-r9,0.444383,0.126374
CrisisFACTS-004-r10,0.264522,0.120879
CrisisFACTS-004-r11,0.391206,0.098901
CrisisFACTS-004-r12,0.318781,0.116084
CrisisFACTS-004-r13,0.516498,0.097771
CrisisFACTS-004-r14,0.319231,0.096441
CrisisFACTS-004-r15,0.376619,0.102564
CrisisFACTS-004-r16,0.306263,0.088235
CrisisFACTS-004-r17,0.313110,0.098015
CrisisFACTS-004-r18,0.406073,0.108108
CrisisFACTS-004-r19,0.243957,0.106154
CrisisFACTS-004-r20,0.201012,0.094406
CrisisFACTS-004-r21,0.251068,0.111111
CrisisFACTS-004-r22,0.248625,0.223485
CrisisFACTS-004-r8,0.193659,0.085470
CrisisFACTS-004-r9,0.713828,0.226858
CrisisFACTS-005-r3,0.504589,0.120769
CrisisFACTS-005-r4,0.486573,0.112308
CrisisFACTS-005-r5,0.315733,0.108669
CrisisFACTS-005-r6,0.106469,0.139423
CrisisFACTS-006-r4,0.437500,0.142857
CrisisFACTS-006-r5,0.322099,0.093491
CrisisFACTS-006-r6,0.305144,0.104167
CrisisFACTS-006-r7,0.321629,0.127721
CrisisFACTS-007-r13,0.585220,0.099506
CrisisFACTS-007-r14,0.715283,0.116308
CrisisFACTS-008-r10,0.625000,0.131313
CrisisFACTS-008-r3,0.380769,0.107692
CrisisFACTS-008-r4,0.467396,0.114198
CrisisFACTS-008-r5,0.578380,0.107692
CrisisFACTS-008-r6,0.598268,0.100308
CrisisFACTS-008-r7,0.631691,0.107692
CrisisFACTS-008-r8,0.687123,0.107931
CrisisFACTS-008-r9,0.580049,0.106838
CrisisFACTS-009-r0,0.162573,0.164773
CrisisFACTS-009-r1,0.460921,0.064574
CrisisFACTS-009-r2,0.251970,0.060357
CrisisFACTS-009-r3,0.220838,0.065657
CrisisFACTS-009-r4,0.267949,0.064815
CrisisFACTS-009-r5,0.223467,0.064103
CrisisFACTS-009-r6,0.167576,0.065217
CrisisFACTS-010-r0,0.121555,0.092593
CrisisFACTS-010-r1,0.427219,0.068182
CrisisFACTS-010-r2,0.223781,0.069254
CrisisFACTS-010-r3,0.116292,0.066667
CrisisFACTS-010-r4,0.178829,0.079665
CrisisFACTS-010-r5,0.017096,0.109375
CrisisFACTS-011-r0,0.088787,0.078704
CrisisFACTS-011-r1,0.145241,0.112903
CrisisFACTS-011-r2,0.189606,0.070000
CrisisFACTS-011-r3,0.068650,0.070988
CrisisFACTS-011-r4,0.013252,0.072917
CrisisFACTS-012-r0,0.005556,0.055556
CrisisFACTS-012-r1,0.490060,0.063549
CrisisFACTS-012-r2,0.380978,0.069172
CrisisFACTS-012-r3,0.277686,0.076797
CrisisFACTS-012-r4,0.238883,0.090278
CrisisFACTS-013-r0,0.509879,0.080038
CrisisFACTS-013-r1,0.443148,0.090000
CrisisFACTS-013-r2,0.367121,0.082755
CrisisFACTS-013-r3,0.405597,0.078836
CrisisFACTS-013-r4,0.417357,0.098529
CrisisFACTS-013-r5,0.015175,0.066667
CrisisFACTS-014-r0,0.421514,0.062551
CrisisFACTS-014-r1,0.342515,0.059524
CrisisFACTS-014-r2,0.345299,0.064626
CrisisFACTS-014-r3,0.405224,0.064426
CrisisFACTS-014-r4,0.249774,0.056927
CrisisFACTS-014-r5,0.367892,0.063492
CrisisFACTS-014-r6,0.359437,0.062428
CrisisFACTS-015-r0,0.303756,0.072090
CrisisFACTS-015-r1,0.363617,0.064426
CrisisFACTS-015-r2,0.416933,0.070962
CrisisFACTS-015-r3,0.202574,0.066840
CrisisFACTS-015-r4,0.175434,0.072562
CrisisFACTS-015-r5,0.121978,0.078078
CrisisFACTS-015-r6,0.119229,0.076023
CrisisFACTS-016-r0,0.258071,0.061869
CrisisFACTS-016-r1,0.323112,0.065865
CrisisFACTS-016-r2,0.276365,0.073413
CrisisFACTS-016-r3,0.250741,0.087302
CrisisFACTS-016-r4,0.090610,0.131944
CrisisFACTS-017-r0,0.355785,0.070370
CrisisFACTS-017-r1,0.506471,0.066993
CrisisFACTS-017-r2,0.533680,0.066449
CrisisFACTS-017-r3,0.259162,0.076797
CrisisFACTS-017-r4,0.157092,0.067183
CrisisFACTS-017-r5,0.248327,0.140203
CrisisFACTS-018-r0,0.460000,0.089849
CrisisFACTS-018-r1,0.719831,0.063333
CrisisFACTS-018-r2,0.557259,0.065562
CrisisFACTS-018-r3,0.391224,0.072440
CrisisFACTS-018-r4,0.421484,0.096094
CrisisFACTS-018-r5,0.289336,0.151773
